Brock Purdy
Josh Allen
Dak Prescott
Jordan Love
Tua Tagovailoa
Jalen Hurts
C.J. Stroud
Lamar Jackson
Matthew Stafford
Jared Goff
Patrick Mahomes
Jake Browning
Geno Smith
Baker Mayfield
Kirk Cousins
Justin Herbert
Nick Mullens
Taylor Heinicke
Derek Carr
Tyrod Taylor
Anthony Richardson
Joe Burrow
Kyler Murray
Gardner Minshew
Joe Flacco
Justin Fields
Deshaun Watson
Trevor Lawrence
Tyson Bagent
Mitchell Trubisky
Russell Wilson
Jimmy Garoppolo
Will Levis
Aidan O'Connell
Easton Stick
Ryan Tannehill
Dorian Thompson-Robinson
P.J. Walker
Kenny Pickett
Tommy DeVito
Desmond Ridder
Daniel Jones
Trevor Siemian
Joshua Dobbs
Mac Jones
Bailey Zappe
Sam Howell
Zach Wilson
Bryce Young
